link	Song Title	Artists	Genres	Difficulty	List	Added
all-i-want-for-christmas-is-you	All I Want for Christmas Is You	Mariah Carey	Christmas, Pop	&starf;&starf;	&#10053;	2023
angels-we-have-heard-on-high	Angels We Have Heard On High	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
bc-clark	B. C. Clark Jewelers	Al Fiegel	Jingle, Theme, Christmas	&starf;	&#10053;	2022
christmas-dont-be-late	Christmas Don't Be Late	Alvin and the Chipmunks	Christmas Carol, TV Theme	&starf;&starf;	&#10053;	2023
christmas-song	Christmas Song	Nat King Cole, Mel Torme	Jazz, Christmas	&starf;&starf;&starf;	&#10053;	2022
deck-the-halls	Deck the Halls	Traditional	Christmas Carol	&starf;	&#10053;	2023
do-you-hear-what-i-hear	Do You Hear What I Hear	Bing Crosby	Christmas Carol, Hymn	&starf;&starf;&starf;	&#10053;	2023
feliz-navidad-maligayang-pasko	Feliz Navidad, Maligayang Pasko	José Feliciano	Christmas, Latin	&starf;	&#10053;	2023
first-noel	First Noel	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
frosty-the-snowman	Frosty the Snowman	Gene Autry	Christmas Carol	&starf;&starf;	&#10053;	2023
god-rest-ye-merry-gentlemen	God Rest Ye Merry Gentlemen	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
happy-holidays	Happy Holidays	Andy Williams	Christmas	&starf;	&#10053;	2023
hark-the-herald-angels-sing	Hark the Herald Angels Sing	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
have-yourself-a-merry-little-christmas	Have Yourself a Merry Little Christmas	Bing Crosby	Christmas, Jazz	&starf;&starf;&starf;	&#10053;	2023
here-comes-santa-claus	Here Comes Santa Claus	Gene Autry, Elvis Presley	Christmas	&starf;&starf;	&#10053;	2023
i-want-a-hippopotamus-for-christmas	I Want a Hippopotamus for Christmas	Gayla Peevey	Christmas	&starf;&starf;	&#10053;	2023
ill-be-home-for-christmas	I'll Be Home for Christmas	Bing Crosby, Johnny Mathis, Sung Si Kyung	Jazz, Christmas	&starf;&starf;&starf;	&#10053;	2022
its-beginning-to-look-a-lot-like-christmas	It's Beginning to Look A Lot Like Christmas	Perry Como	Christmas	&starf;&starf;&starf;	&#10053;	2023
jingle-bell-rock	Jingle Bell Rock	Bobby helms	Christmas	&starf;&starf;&starf;	&#10053;	2023
jingle-bells	Jingle Bells	Traditional	Christmas Carol	&starf;	&#10053;	2023
joy-to-the-world	Joy to the World	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
last-christmas	Last Christmas	Wham!	Soft Rock, Christmas	&starf;	&#10053;	2022
let-it-snow-let-it-snow-let-it-snow	Let It Snow, Let It Snow, Let It Snow	Vaughn Monroe, Dean Martin, Bing Crosby	Christmas, Jazz	&starf;&starf;	&#10053;	2023
loves-not-just-for-christmas	Love's Not Just For Christmas	London Community Gospel Choir	Gospel, Christmas	&starf;&starf;&starf;	&#10053;	2022
mary-did-you-know	Mary Did You Know	Michael English	Christmas Carol, Hymn	&starf;&starf;	&#10053;	2023
mele-kalikimaka	Mele Kalikimaka	Bing Crosby	Christmas	&starf;&starf;&starf;	&#10053;	2023
o-christmas-tree	O Christmas Tree	Traditional	Christmas Carol	&starf;	&#10053;	2023
o-come-all-ye-faithful	O Come All Ye Faithful	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
o-holy-night	O Holy Night	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
o-little-town-of-bethlehem	O Little Town of Bethlehem	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
please-come-home-for-christmas	Please Come Home for Christmas	Eagles	Blues, Christmas	&starf;&starf;	&#10053;	2022
rockin-around-the-christmas-tree	Rockin' Around the Christmas Tree	Brenda Lee	Christmas	&starf;&starf;	&#10053;	2023
rudolph-the-red-nosed-reindeer	Rudolph the Red-Nosed Reindeer	Traditional	Christmas Carol	&starf;	&#10053;	2023
santa-claus-is-coming-to-town	Santa Claus Is Coming to Town	Traditional	Christmas Carol	&starf;	&#10053;	2023
santa-claus-is-coming-to-town-j5	Santa Claus Is Coming to Town	Jackson 5	Christmas, Rock	&starf;	&#10053;	2023
silent-night	Silent Night	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
silver-bells	Silver Bells	Bing Crosby, Carol Richards	Christmas, Jazz	&starf;&starf;	&#10053;	2023
sleigh-ride	Sleigh Ride	The Ronettes	Christmas	&starf;&starf;	&#10053;	2023
this-christmas	This Christmas	Donny Hathaway	Soul, Christmas	&starf;&starf;&starf;	&#10053;	2022
we-wish-you-a-merry-christmas	We Wish You a Merry Christmas	Traditional	Christmas Carol	&starf;	&#10053;	2023
what-child-is-this	What Child Is This	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
white-christmas	White Christmas	Bing Crosby	Christmas, Jazz	&starf;&starf;&starf;	&#10053;	2023
winter-wonderland	Winter Wonderland	Perry Como, Bing Crosby, Tony Bennett, Johny Mercer	Christmas, Jazz	&starf;&starf;	&#10053;	2023
