link	Song Title	Artist	Combo	Lead	Notes
back-2-my-roots	Back 2 My Roots	Rebel Souljahz	U-B	JC	-
https://tabs.ultimate-guitar.com/tab/allen-stone/brown-eyed-lover-chords-2606460	Brown Eyed Lover	Allen Stone	C-B	Luke	JC sings choruses
https://tabs.ultimate-guitar.com/tab/talking-heads/burning-down-the-house-chords-210881	Burning Down the House	Talking Heads	U-B	Luke	-
careless-whisper	Careless Whisper	George Michael	U-B	JC	Bm, 2-time Chorus 3
https://tabs.ultimate-guitar.com/tab/tommy-james-the-shondells/crystal-blue-persuasion-chords-412502	Crystal Blue Persuasion	Tommy James	P-G	Luke	-
https://tabs.ultimate-guitar.com/tab/men-at-work/down-under-chords-48487	Down Under	Men At Work	?-?	Luke	-
drinking-problem	Drinking Problem	Ekolu, Midland	U-B	JC	Bb, 100
ehu-girl	Ehu Girl	Kolohe Kai	U-B	JC	A
forget-you	Forget You	Ceelo Green	P-B	JC	A
i-just-want-to-be-your-everything	I Just Want To Be Your Everything	Andy Gibb	C-B	JC	-
island-in-the-sun	Island In the Sun	Weezer	U-B	Both	-
ride-like-the-wind	Ride Like The Wind	Christopher Cross	U-B	Luke	-
https://tabs.ultimate-guitar.com/tab/hall-oates/sara-smile-chords-927755	Sara Smile	Hall & Oates	P-G	Luke	-
https://tabs.ultimate-guitar.com/tab/mayer-hawthorne/the-walk-chords-1132291	The Walk	Mayer Hawthorne	P-G	Luke	-
