link	Song Title	Artist	Key	Notes
https://tabs.ultimate-guitar.com/tab/ed-sheeran/the-a-team-chords-1082501	A-Team	Ed Sheeran	G-2 (A)	Bass
https://tabs.ultimate-guitar.com/tab/crosby-stills-nash-young/almost-cut-my-hair-chords-1475488	Almost Cut My Hair	Crosby, Stills, Nash & Young	Am	-
https://tabs.ultimate-guitar.com/tab/chris-cornell/be-yourself-chords-1877975	Be Yourself	Chris Cornell	Am	-
https://tabs.ultimate-guitar.com/tab/kenny-chesney/beer-in-mexico-chords-396872	Beer In Mexico	Kenny Chesney	D	120, Distortion
https://tabs.ultimate-guitar.com/tab/the-verve/bitter-sweet-symphony-chords-705173	Bittersweet Symphony	The Verve	E	-
https://tabs.ultimate-guitar.com/tab/barenaked-ladies/brian-wilson-chords-20547	Brian Wilson	Barenaked Ladies	G-3	-
https://tabs.ultimate-guitar.com/tab/the-marshall-tucker-band/cant-you-see-chords-144303	Can't You See	Marshall Tucker Band	G	Cajon
https://tabs.ultimate-guitar.com/tab/eric-clapton/change-the-world-chords-63570	Change the World	Eric Clapton	E	-
https://tabs.ultimate-guitar.com/tab/tommy-james-the-shondells/crimson-and-clover-chords-1044137	Crimson and Clover	Tommy James & the Shondells	A	Distortion
https://tabs.ultimate-guitar.com/tab/bruce-springsteen/dancing-in-the-dark-chords-1087212	Dancing in the Dark/1000 miles	Bruce Springsteen	G-2	Distortion
https://tabs.ultimate-guitar.com/tab/calum-scott/dancing-on-my-own-chords-1835574	Dancing On My Own	Calum Scott	C	-
https://tabs.ultimate-guitar.com/tab/otis-redding/sittin-on-the-dock-of-the-bay-chords-1088518	Dock of the Bay	Otis Redding	-	90
https://tabs.ultimate-guitar.com/tab/bob-dylan/dont-think-twice-its-all-right-chords-178850	Don’t Think Twice	Bob Dylan	C-5 (F)	-
https://tabs.ultimate-guitar.com/tab/commodores/easy-chords-1149783	Easy	The Commodores	G	Cajon
https://tabs.ultimate-guitar.com/tab/foo-fighters/everlong-chords-827500	Everlong	Foo Fighters	Drop D	-
https://tabs.ultimate-guitar.com/tab/tears-for-fears/everybody-wants-to-rule-the-world-chords-1503308	Everybody Wants to Rule	Tears for Fears	E	-
https://tabs.ultimate-guitar.com/tab/billy-idol/eyes-without-a-face-chords-755532	Eyes Without a Face	Billy Idol	-	-
https://tabs.ultimate-guitar.com/tab/kings-of-leon/fans-chords-1727855	Fans	Kings of Leon	E	-
fast-car	Fast Car	Luke Combs	-	-
https://tabs.ultimate-guitar.com/tab/death-cab-for-cutie/i-will-follow-you-into-the-dark-chords-335735	Follow You Into the Dark	Death Cab for Cutie	C-5 (F)	-
