link	Song Title	Artist	Combo	Lead	Notes
cool-down	Cool Down	Kolohe Kai	U-B	JC	75
die-with-a-smile	Die With A Smile	Bruno Mars, Lady Gaga	U-B	JC	-
still-the-one	Still the One	The Orleans	U-B	JC	75
drop-baby-drop	Drop Baby Drop	Ka'au Crater Boys	U-B	JC	75
you-are-my-sensation	You Are My Sensation	Ekolu	U-B	JC	75
crazy	Crazy	Gnarls Barkley	U-B	Luke	110
island-song	Island Song	Zac Brown Band	C-G	Luke	70
under-the-boardwalk	Under the Boardwalk	The Drifters	U-B	JC	-
stand-by-me	Stand By Me	Ben E. King	U-B	JC	-
runaround-sue	Runaround Sue	Dion & the Belmonts	U-B	JC	145
my-girl	My Girl	The Temptations	U-B	JC	100
dance-monkey	Dance Monkey	Tones and I	C-G	JC	-
misunderstanding	Misunderstanding	Genesis	C-G	Luke	125, (58)12/8Grv
lonely-teardrops	Lonely Teardrops	Michael McDonald	C-G	Luke	125, (8)Rock1
stir-it-up	Stir It Up	Bob Marley	U-B	Luke	75
santeria	Santeria	Sublime	U-B	JC	80
locked-out-of-heaven	Locked Out of Heaven	Bruno Mars	U-B	JC	150
lovefool-ss	Lovefool	The Cardigans	U-B	JC	-
everywhere	Everywhere	Fleetwood Mac	U-B	Luke	100, (6)16Beats2
medley-clocks-all-of-me	Medley: Clocks / All of Me	Coldplay, John Legend	C-G	Both	-
your-love	Your Love	The Outfield	C-G	Luke	145
medley-do-for-love-two-of-us-my-boo	Do For Love / Just the Two of Us / My Boo	Caldwell, Withers, Ghost Town DJs	U-B	Both	85, (22)FunkRock
girls-just-want-to-have-fun	Girls Just Wanna Have Fun	Cyndi Lauper	C-G	Luke	-
what-i-like-about-you	What I Like About You	The Romantics	C-G	Luke	-
why-kiki	Why Kiki	Iam Tongi	U-B	JC	75
brown-eyed-girl	Brown Eyed Girl	Van Morisson	U-B	JC	-
i-hear-music	I Hear Music	Ka'au Crater Boys	U-B	JC	-
say-a-little-prayer	Say A Little Prayer	Dionne Warwick	U-B	JC	-
true-to-myself	True To Myself	Ziggy Marley	C-G	Luke	95
cant-help-falling-in-love	Can't Help Falling In Love	Elvis Presley	U-B	JC	-
love-me	Love Me	Fia	U-B	JC	100
baby-hold-on	Baby Hold On	Eddie Money	C-G	Luke	-
use-me	Use Me	Bill Withers	P-G	Luke	80, (5)16Beats1
beggin	Beggin'	Frankie Valli	P-B	Both	140, Fast version
short-court-style	Short Court Style	Natalie Prass	P-B	JC	90
ride	Ride	Twenty One Pilots	U-B	JC	75
mashup-i-keep-forgettin-regulate	Mashup: I Keep Forgettin / Regulate	Michael McDonald, Nate Dogg, Warren G	P-B	Both	-
funky-town	Funky Town	Lipps Inc.	C-B	Luke	-
build-me-up-buttercup	Build Me Up Buttercup	The Foundations	P-B	Luke	-
feel-it-still	Feel It Still	Portugal the Man	U-B	JC	-
more-today-than-yesterday	More Today Than Yesterday	Spiral Staircase	P-G	Luke	-
mr-blue-sky	Mr. Blue Sky	Electric Light Orchestra	U-B	Luke	-
she	She	Mad Caddies	U-B	JC	-
waiting-in-vain-bamboo	Waiting In Vain	Bamboo, Bob Marley	U-B	JC	-
