link	Song Title	Artist	Combo	Lead	Notes
cant-help-falling-in-love	Can't Help Falling In Love	Elvis Presley	U-B	JC	-
everywhere	Everywhere	Fleetwood Mac	U-B	Luke	100, (6)16Beats2
cool-down	Cool Down	Kolohe Kai	U-B	JC	75
drop-baby-drop	Drop Baby Drop	Ka'au Crater Boys	U-B	JC	75
island-song	Island Song	Zac Brown Band	C-G	Luke	70
lonely-teardrops	Lonely Teardrops	Michael McDonald	B-G	Luke	125, (8)Rock1
suspicious-minds	Suspicious Minds	Elvis Presley	B-G	Luke	-
baby-come-back	Baby Come Back	Player	P-B	JC	-
you-are-my-sensation	You Are My Sensation	Ekolu	U-B	JC	75
under-the-boardwalk	Under the Boardwalk	The Drifters	U-B	JC	-
crazy	Crazy	Gnarls Barkley	U-B	Luke	110
coming-home	Coming Home	Leon Bridges	U-B	Luke	-
more-today-than-yesterday	More Today Than Yesterday	Spiral Staircase	P-G	Luke	-
why-kiki-extended	Why Kiki	Iam Tongi	U-B	JC	75
i-hear-music	I Hear Music	Ka'au Crater Boys	U-B	JC	-
guava-lane	Guava Lane	Iration	U-B	JC	-
ride	Ride	Twenty One Pilots	U-B	JC	75
poison	Poison	Bell Biv Devoe	U-B	JC	-
mashup-i-keep-forgettin-regulate	Mashup: I Keep Forgettin / Regulate	Michael McDonald, Nate Dogg, Warren G	P-B	Both	-
use-me	Use Me	Bill Withers	P-G	Luke	80, (5)16Beats1
movin-out	Movin' Out	Billy Joel	P-B	Luke	-
pink-pony-club	Pink Pony Club	Chappell Roan	P-G	Luke	-
baby-hold-on	Baby Hold On	Eddie Money	B-G	Luke	-
medley-do-for-love-two-of-us	Do For Love / Just the Two of Us	Caldwell, Withers	U-B	Both	85, (22)FunkRock
knockin-on-heavens-door	Knockin' On Heaven's Door	Bob Dylan	U-B	Luke	-
rude	Rude	MAGIC!	U-B	JC	75
waiting-in-vain-bamboo	Waiting In Vain	Bamboo, Bob Marley	U-B	JC	-
i-just-called-to-say-i-love-you	I Just Called To Say I Love You	Stevie Wonder	U-B	JC	105
die-with-a-smile	Die With A Smile	Bruno Mars, Lady Gaga	U-B	JC	-
beggin	Beggin'	Frankie Valli	P-B	Both	140, Fast version
stir-it-up	Stir It Up	Bob Marley	U-B	Luke	75
locked-out-of-heaven	Locked Out of Heaven	Bruno Mars	U-B	JC	150
baby-i-love-your-way	Baby I Love Your Way	Peter Frampton, Big Mountain	B-G	Luke	-
back-pocket	Back Pocket	Vulfpeck	B-G	Luke	-
midnight-hour	Midnight Hour	SDIB	U-B	JC	Bb
i-feel-it-coming	I Feel It Coming	The Weeknd, Natty Bong	U-B	JC	-
