sep=|
|Song Title|Artists|Genres|Difficulty|List
|25 or 6 to 4|Chicago|Rock|&starf;|&#9788;
|After the Lovin'|Engelbert Humperdinck|Jazz|&starf;&starf;&starf;&starf;|JC
|All I Want for Christmas Is You|Mariah Carey|Christmas, Pop|&starf;&starf;|&#10053;
|All of Me|John Legend|Ballad|&starf;|&#9788;
|All Star|Smash Mouth|Rock|&starf;|T
|Amber|311|Reggae|&starf;|&#9788;
|Angels We Have Heard On High|Traditional|Christmas Carol, Hymn|&starf;|&#10053;
|Baby Hold On|Eddie Money|Classic Rock|&starf;&starf;|&#9788;
|Bakit Pa Ba|Jay R|Ballad, Filipino|&starf;&starf;&starf;&starf;|JC
|B. C. Clark Jewelers|Al Fiegel|Jingle, Theme, Christmas|&starf;|&#10053;
|Beggin'|Frankie Valli, The Four Seasons, Madcon, Måneskin|Funk, Rap, Rock|&starf;|&#9788;
|Believer|Imagine Dragons|Pop, Rock|&starf;|
|Best Day of My Life|American Authors|Alternative, Indie|&starf;|
|Blurry|Puddle Of Mudd|Rock, Grunge, Alternative|&starf;|JC
|Brown Eyed Girl|Van Morrison|Soft Rock|&starf;|&#9788;
|Build Me Up Buttercup|The Foundations|Pop Soul|&starf;&starf;|&#9788;
|Butterflies|Kolohe Kai|Jawaiian|&starf;&starf;|JC
|Cake By the Ocean|DNCE|Pop, Funk|&starf;|
|Can't Help Falling In Love|Elvis Presley, UB40|Ballad, Reggae|&starf;&starf;|&#9788;
|Careless Whisper|George Michael|Pop|&starf;|JC
|Christmas Don't Be Late|Alvin and the Chipmunks|Christmas Carol, TV Theme|&starf;&starf;|&#10053;
|Christmas Song|Nat King Cole, Mel Torme|Jazz, Christmas|&starf;&starf;&starf;|&#10053;
|Clocks|Coldplay|Alternative Rock, Indie|&starf;|&#9788;
|Color Everywhere|Youth Asylum|Boyband, R&B|&starf;&starf;&starf;|JC
|Color of Love|Boyz II Men|R&B|&starf;&starf;&starf;|JC
|Coming Out of Our Shells|Teenage Mutant Ninja Turtles|Rock|&starf;&starf;|
|Complicated|Avril Lavigne|Punk, Rock, Pop|&starf;|JC
|Cool Down|Kolohe Kai|Jawaiian|&starf;|&#9788;
|Count On Me|Bruno Mars|Folk Tropical|&starf;|JC
|Count On Us|Teenage Mutant Ninja Turtles|Rock|&starf;|
|Crazy|Gnarls Barkley|Funk, Pop|&starf;|&#9788;
|Creep|Radiohead|Rock|&starf;|&#9788;
|Dahil Sa Iyo|Mike Velarde Jr., Rogelio de la Rosa|Kundiman, Filipino Folk, Jazz|&starf;&starf;&starf;&starf;|JC
|Damn I Love You|JC Reyes|Ballad|&starf;&starf;|JC
|Damn I Love You (Reggae)|JC Reyes|Reggae|&starf;|JC
|Dance Monkey|Tones and I|Electropop|&starf;|&#9788;
|Deck the Halls|Traditional|Christmas Carol|&starf;|&#10053;
|Die With A Smile|Bruno Mars, Lady Gaga|Slow Rock, Ballad|&starf;&starf;|&#9788;
|Do You Hear What I Hear|Bing Crosby|Christmas Carol, Hymn|&starf;&starf;&starf;|&#10053;
|Drinking Problem|Ekolu, Midland|Jawaiian, Country|&starf;|JC
|Drop Baby Drop|Mana'o Company|Jawaiian|&starf;|&#9788;
|Ehu Girl|Kolohe Kai|Jawaiian|&starf;|T
|End of the Road|Boyz II Men|R&B|&starf;&starf;|JC
|Everybody Talks|Neon Trees|Rock, Punk|&starf;|&#9788;
|Everything|Michael Buble|Pop|&starf;|JC
|Everywhere|Ekolu, Fleetwood Mac|Jawaiian|&starf;|&#9788;
|Fallin' For You|Colbie Caillat|Folk Pop|&starf;|JC
|Far From You|Natalie Prass|Ballad|&starf;&starf;|JC
|Fast Car|Tracy Chapman, Luke Combs|Country|&starf;|
|Feel It Still|Portugal the Man|Funk, Indie, Pop|&starf;|&#9788;
|Feliz Navidad, Maligayang Pasko|José Feliciano|Christmas, Latin|&starf;|&#10053;
|First Cut Is The Deepest|Cat Stevens, Rod Stewart|Folk|&starf;|&#9788;
|First Noel|Traditional|Christmas Carol, Hymn|&starf;|&#10053;
|Fly Me to the Moon|Frank Sinatra|Jazz|&starf;&starf;&starf;|JC
|Frosty the Snowman|Gene Autry|Christmas Carol|&starf;&starf;|&#10053;
|Funky Town|Lipps Inc|Funk, Pop|&starf;|&#9788;
|Girls Just Want To Have Fun|Cyndi Lauper|Pop|&starf;&starf;|&#9788;
|God Rest Ye Merry Gentlemen|Traditional|Christmas Carol, Hymn|&starf;|&#10053;
|Got My Mind Set On You|George Harrison|Rock|&starf;|&#9788;
|Groove Witcha|Norm|Jawaiian|&starf;|JC
|Hallelujah|Leonard Cohen, No Resolve|Ballad, Rock|&starf;|JC
|Happy Holidays|Andy Williams|Christmas|&starf;|&#10053;
|Hark the Herald Angels Sing|Traditional|Christmas Carol, Hymn|&starf;|&#10053;
|Have Yourself a Merry Little Christmas|Bing Crosby|Christmas, Jazz|&starf;&starf;&starf;|&#10053;
|Haven't Met You Yet|Michael Buble|Pop, Folk|&starf;&starf;|JC
|Here Comes Santa Claus|Gene Autry, Elvis Presley|Christmas|&starf;&starf;|&#10053;
|Here Without You|3 Doors Down|Rock, Grunge|&starf;|JC
|Hey Soul Sister|Train|Pop|&starf;|&#9788;
|Hold the Line|Toto|Rock|&starf;&starf;|&#9788;
|Honestly|Ekolu|Jawaiian|&starf;&starf;|JC
|Honey Baby|Three Plus|Jawaiian|&starf;|JC
|Hotel California|Eagles|Country Rock|&starf;&starf;|&#9788;
|How Deep Is Your Love|Bee Gees|Ballad|&starf;&starf;&starf;|JC
|How Deep Is Your Love|PJ Morton|Soul, R&B|&starf;&starf;|
|How Do I Live|LeAnn Rimes|Country|&starf;&starf;&starf;|JC
|I Can Love You Like That|All-4-One|R&B|&starf;&starf;&starf;|JC
|I Do|Colbie Caillat|Folk Pop|&starf;&starf;|JC
|I Hear Music|Ka'au Crater Boys|Jawaiian|&starf;|&#9788;
|I Love You|Mana'o Company|Jawaiian|&starf;|&#9788;
|I Love You for Sentimental Reasons|Nat King Cole|Jazz, Ballad|&starf;&starf;&starf;&starf;|JC
|I Want a Hippopotamus for Christmas|Gayla Peevey|Christmas|&starf;&starf;|&#10053;
|I Wish|Stevie Wonder|Funk|&starf;|&#9788;
|Ice-Cream|Aldrine Guerrero|Jawaiian|&starf;&starf;|JC
|If|Bread, Sung Si Kyung|Ballad|&starf;&starf;|JC
|If I Ain't Got You|Alicia Keys|R&B, Soul|&starf;&starf;|JC
|I'll Be Home for Christmas|Bing Crosby, Johnny Mathis, Sung Si Kyung|Jazz, Christmas|&starf;&starf;&starf;|&#10053;
|I'll Hear Your Voice|Rockapella|Ballad|&starf;&starf;&starf;|JC
|I'm Not the Only One|Sam Smith|Pop, R&B, Ballad|&starf;|JC
|I'm Yours|Jason Mraz|Pop, Reggae|&starf;|JC
|In Pieces|Linkin Park|Rock|&starf;|&#9788;
|Island Song|Zac Brown Band|Jawaiian|&starf;|&#9788;
|It Might Be You|Kai, Stephen Bishop|Ballad, Soft Rock|&starf;&starf;|JC
|It's Beginning to Look A Lot Like Christmas|Perry Como|Christmas|&starf;&starf;&starf;|&#10053;
|I've Got You Under My Skin|Frank Sinatra|Jazz|&starf;&starf;&starf;|JC
