link	Song Title	Artists	Genres	Difficulty	List	Added
25-or-6-to-4	25 or 6 to 4	Chicago	Rock	&starf;	&#9788;	2023
abcde-forget-you	ABCDE Forget You	Gayle	Pop Rock	&starf;	JC	2026
after-the-lovin	After the Lovin'	Engelbert Humperdinck	Jazz	&starf;&starf;&starf;&starf;	JC	2022
all-i-want-for-christmas-is-you	All I Want for Christmas Is You	Mariah Carey	Christmas, Pop	&starf;&starf;	&#10053;	2023
all-my-life	All My Life	K-Ci & JoJo	R&B	&starf;&starf;	JC	2025
all-of-me	All of Me	John Legend	Ballad	&starf;	&#9788;	2023
all-or-nothing	All Or Nothing	O-Town	Boyband, Ballad	&starf;	JC	2026
all-star	All Star	Smash Mouth	Rock	&starf;	T	2024
amber	Amber	311	Reggae	&starf;	&#9788;	2024
angels-we-have-heard-on-high	Angels We Have Heard On High	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
baby-come-back	Baby Come Back	Player	Funk, Classic Rock	&starf;&starf;	&#9788;	2026
baby-hold-on	Baby Hold On	Eddie Money	Classic Rock	&starf;&starf;	&#9788;	2023
baby-i-love-your-way	Baby I Love Your Way	Peter Frampton, Big Mountain	Reggae	&starf;	T	2025
baby-one-more-time	Baby One More Time	Britney Spears	Reggae, Pop, Rock	&starf;&starf;	T	2026
back-2-my-roots	Back 2 My Roots	Rebel Souljahz	Jawaiian, Reggae	&starf;	T	2025
back-pocket	Back Pocket	Vulfpeck	Funk	&starf;&starf;	&#9788;	2026
bakit-pa-ba	Bakit Pa Ba	Jay R	Ballad, Filipino, Tagalog	&starf;&starf;&starf;&starf;	JC	2023
bc-clark	B. C. Clark Jewelers	Al Fiegel	Jingle, Theme, Christmas	&starf;	&#10053;	2022
beautiful-as-you	Beautiful As You	Jim Brickman, All-4-One, Wayne Brady	Ballad, R&B	&starf;&starf;&starf;	JC	2026
beggin	Beggin'	Frankie Valli, The Four Seasons, Madcon, Måneskin	Funk, Rap, Rock	&starf;	&#9788;	2023
believer	Believer	Imagine Dragons	Pop, Rock	&starf;	-	2024
best-day-of-my-life	Best Day of My Life	American Authors	Alternative, Indie	&starf;	-	2024
blurry	Blurry	Puddle Of Mudd	Rock, Grunge, Alternative	&starf;	JC	2025
brown-eyed-girl	Brown Eyed Girl	Van Morrison	Soft Rock	&starf;	&#9788;	2024
build-me-up-buttercup	Build Me Up Buttercup	The Foundations	Pop Soul	&starf;&starf;	&#9788;	2024
butterflies	Butterflies	Kolohe Kai	Jawaiian, Reggae	&starf;&starf;	JC	2023
cake-by-the-ocean	Cake By the Ocean	DNCE	Pop, Funk	&starf;	-	2024
cant-help-falling-in-love	Can't Help Falling In Love	Elvis Presley, UB40	Ballad, Reggae	&starf;&starf;	&#9788;	2023
careless-whisper	Careless Whisper	George Michael	Pop	&starf;	JC	2024
christmas-dont-be-late	Christmas Don't Be Late	Alvin and the Chipmunks	Christmas Carol, TV Theme	&starf;&starf;	&#10053;	2023
christmas-song	Christmas Song	Nat King Cole, Mel Torme	Jazz, Christmas	&starf;&starf;&starf;	&#10053;	2022
